,date,lat,long,pano_id,name,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg
16534,2011-09,42.85984558009965,-87.86743909964609,0GlRCsYrUwfZAct0z5Oeaw,748,328.78998,-103.93,1.43
16535,2018-08,43.104671143220024,-87.97787710413435,ZQH4duoLdMftGCAjY1ETIA,7480,0.37,-59.719997,4.74
16536,2015-10,43.09722327070794,-87.98183297815159,w1E1hysbz9cW2VUvWpkLww,7481,179.72,-93.259995,0.84999996
16537,2015-10,43.0991664,-87.9818188,vDiL3WMVsoaKoq2hduWyRQ,7482,181.05,-128.41,1.8499999
16538,2018-07,43.099635581236505,-87.98177901115913,kb1K98RRyl6jpQTfJRkh7Q,7483,101.52,124.59,1.18
16539,2015-10,43.095724204284146,-87.98189041326108,Er3dPrP4w3bfs-3wTIwspg,7484,161.81999,133.4,0.5
16540,2016-11,43.0916531,-87.9710896,TWnJP2PKFM8ZE4zAtQUoJQ,7485,84.82,-168.9,0.45999998
16541,2016-11,43.093463356597844,-87.97111188080284,TYjVbeW3Pez1jh7iVcS3fQ,7486,262.88,162.59,0.65999997
16542,2016-10,43.0416485,-87.948981,mhEH9EnQu4nJLmFWMM9Zbw,7487,1.52,-124.77,0.82
16543,2017-10,43.0402674,-87.9489873,5Yh5YlJdjhVHp9zw8pkNaw,7488,91.21,49.52,1.8399999
16544,2016-10,43.042732799999996,-87.9489682,G88V8kfPIlFxIUdjwhCC0g,7489,278.63998,111.34,0.35
16545,2019-06,42.859212299999996,-87.93276350000001,ya4l3UMRVV2glhw6ctG-nA,749,3.74,-55.09,0.59999996
16546,2007-07,43.0387526,-87.9490035,9mL2o4YNV2GNFiBUrvOeFg,7490,30.65,5.52,5.43
16547,2015-10,43.0752262,-87.9738113,c_ylslLDsJCUuyNikyLhxA,7491,270.25,-100.57,0.76
16548,2015-10,43.07708308804782,-87.97376822355356,Ouu3KRfM2UZv2PGgNbxssQ,7492,181.53,178.34,1.53
16549,2018-11,43.07917830234232,-87.97372630767734,UZ3WWxKx9_iokuKfj0A6hQ,7493,91.119995,-137.67,0.98999995
16550,2015-10,43.081154255719795,-87.97372735165146,Gh42U5oV78jaf3GHypxHjg,7494,271,-147.14,0.95
16551,2015-10,43.08296115476989,-87.97364207148019,0djXJOyTAE3lzSHlPV9iRA,7495,186.73999,-164.25,1.78
16552,2015-10,43.0825391,-87.9736552,FLW_Fpyun4aBxfr5RacBxA,7496,90.89,-173.55,0.83
16553,2015-10,43.08509978271969,-87.97361343097248,iuWbuuFosfPBvMKLfgQz9Q,7497,138.05,-93.24,1.39
16554,2017-08,43.03148330453114,-87.99976516620363,vgzcDyB8zwt7SqefqWJPtQ,7498,180.12999,128.81999,1.41
16555,2014-09,43.0461031864769,-87.99998238435457,WhJuZruFSMq2TRTcJIgXxg,7499,172.73,17.359999,1.64
16556,2019-06,42.89470436089672,-87.90573349449578,sJrLQLn9HuJAtkd9d4kFJg,75,149.02,64.58,1.78
16557,2019-06,42.85892972065975,-87.93629999363334,zcHrjTRIgfqgIq0XyI5hoQ,750,180.51999,74.67,0.65999997
16558,2015-10,43.03676253440585,-87.99994646175827,ZN_azPf0vXmpwHbpFMUDdQ,7500,359.56998,-158.73,0.9
16559,2011-10,43.0450334979238,-87.99997134814272,axJxLrhddxVdgmw5H7O4DQ,7501,64.88,154.39,1.62
16560,2017-08,43.04316719812839,-87.99991171902978,Zw5EMCQ6W11PkyvhQftWYg,7502,180.42,153.23,4.29
16561,2014-09,43.03970119858234,-87.99985602849371,Bl12eXDs3emn8rSsgdyL5A,7503,178.45999,-167.33,1.16
16562,2015-10,43.03210700185456,-87.99975416455787,2_y-dnhw1EEPUz_HeSqGZg,7504,90.92,-82.049995,2.62
16563,2017-08,43.03393733429743,-87.9997662854632,kKB-aTcrz4PivHx5OrAeCA,7505,0.14999999,-76.61,1.3199999
16564,2018-10,43.03880011364582,-87.99987234137812,iFXXAYelORzCoS5jTNVoIA,7506,89.34,-99.829994,0.45999998
16565,2018-10,43.04095589884578,-88.007387411074,ukbd21HMSKce4dqE9viY4Q,7507,315.71,-114.13,0.45999998
16566,2018-10,43.03630706318711,-88.00730288929415,efO4aNWDsUeE1YBXXrQbLg,7508,359.78,24.07,0.91999996
16567,2018-10,43.03974241460357,-88.00732807432219,HadSdJ1zjXZZgPTrsUJRAw,7509,359.63,53.399998,0.22
16568,2011-09,42.8589305,-87.9342402,wRrTYH369ClgExf36-qDlw,751,48.35,100.93,2.1599998
16569,2015-10,43.03220026500447,-88.00721548866873,z7M2Lg4l2hDLeup0L4Nxcg,7510,1.25,-116.71,2
16570,2017-08,43.03882379555639,-88.00737179211973,lsbtac_j65lHedLbFVHFrQ,7511,232.54,-171.33,2.08
16571,2016-10,43.03875060646469,-88.01099730039026,AI_iNgekVJblZ4SwTKEcNQ,7512,269.97998,92.6,0.45
